City,Country,Lat,Long,Temp_max,Humidity,Cloudiness,Wind_Speed
Severo-Kuril'sk,RU,50.68,156.12,49.98,66,4,13.27
Airai,TL,-8.93,125.41,80.11,43,0,6.64
Esperance,AU,-33.87,121.9,60.8,67,75,10.29
Ushuaia,AR,-54.8,-68.3,41.0,86,75,20.8
Chokurdakh,RU,70.63,147.92,44.82,68,99,6.62
Ponta do Sol,PT,32.67,-17.1,73.4,78,40,2.24
Butaritari,KI,3.07,172.79,83.26,72,76,10.89
Zhigansk,RU,66.77,123.37,52.03,50,49,9.66
Salalah,OM,17.02,54.09,78.8,88,75,3.36
Buin,CL,-33.73,-70.75,62.6,55,100,4.7
Ilulissat,GL,69.22,-51.1,23.0,45,0,3.36
Rikitea,PF,-23.12,-134.97,72.37,77,16,12.03
Bibiani,GH,6.46,-2.32,70.75,99,100,1.1
Bengkulu,ID,-3.8,102.27,83.95,69,100,3.8
Lebu,CL,-37.62,-73.65,48.33,88,10,13.6
Atuona,PF,-9.8,-139.03,78.58,73,36,18.52
Puerto Ayora,EC,-0.74,-90.35,68.0,86,98,5.01
Bedford,GB,52.13,-0.47,46.99,94,11,10.49
Ixtapa,MX,20.7,-105.2,84.2,74,90,1.39
Kapaa,US,22.08,-159.32,84.2,66,40,14.99
Saint-Philippe,RE,-21.36,55.77,69.8,52,43,6.93
Mataura,NZ,-46.19,168.86,52.0,88,96,5.01
Touros,BR,-5.2,-35.46,71.6,94,26,3.36
Beloha,MG,-25.17,45.05,62.08,68,0,13.49
Bielefeld,DE,52.03,8.53,62.01,86,69,3.0
Khatanga,RU,71.97,102.5,48.96,61,45,6.71
Mabaruma,GY,8.2,-59.78,74.05,93,100,2.55
Fortuna,US,40.6,-124.16,68.0,77,75,5.82
Te Anau,NZ,-45.42,167.72,47.26,89,100,2.68
Punta Arenas,CL,-53.15,-70.92,46.0,75,40,28.86
São João da Barra,BR,-21.64,-41.05,70.5,89,100,11.95
Hobart,AU,-42.88,147.33,55.99,43,75,5.82
Albany,US,42.6,-73.97,61.0,97,0,5.06
Boa Esperança do Sul,BR,-21.99,-48.39,64.8,84,0,6.24
Hermanus,ZA,-34.42,19.23,46.99,95,0,4.74
Ribeira Grande,PT,38.52,-28.7,65.52,72,24,17.36
Tuktoyaktuk,CA,69.45,-133.04,35.6,93,90,20.8
Sabaudia,IT,41.3,13.03,66.0,99,0,4.61
Cherskiy,RU,68.75,161.3,40.03,77,100,15.59
Kota Tinggi,MY,1.74,103.9,84.99,79,20,5.82
Upernavik,GL,72.79,-56.15,24.94,87,98,8.57
Busselton,AU,-33.65,115.33,73.0,33,51,13.11
Ongandjera,NA,-17.88,15.07,66.79,33,21,7.63
Rawson,AR,-43.3,-65.1,52.36,51,0,12.93
Bethel,US,41.37,-73.41,61.0,93,1,3.36
Beringovskiy,RU,63.05,179.32,43.79,65,80,20.02
Okha,RU,53.57,142.95,59.74,55,0,3.58
Faanui,PF,-16.48,-151.75,78.98,79,0,12.46
Ishigaki,JP,24.34,124.16,86.0,70,75,10.29
Lumphat,KH,13.49,106.98,88.03,68,51,3.38
Makakilo City,US,21.35,-158.09,87.8,55,1,9.17
Kruisfontein,ZA,-34.0,24.73,50.74,73,0,3.22
Arraial do Cabo,BR,-22.97,-42.03,69.89,86,100,16.42
Zhongshu,CN,24.52,103.77,66.36,77,99,2.53
Jamestown,US,42.1,-79.24,60.8,77,1,11.41
Isangel,VU,-19.55,169.27,80.6,74,75,9.17
New Norfolk,AU,-42.78,147.06,55.0,57,99,1.99
Saskylakh,RU,71.92,114.08,53.38,54,0,11.68
Vaini,TO,-21.2,-175.2,77.0,78,20,12.75
Praia da Vitória,PT,38.73,-27.07,63.0,77,75,13.78
Tura,IN,25.52,90.22,75.11,97,100,3.36
Cape Town,ZA,-33.93,18.42,57.0,93,75,11.41
Alofi,NU,-19.06,-169.92,77.0,78,75,11.41
Panzhihua,CN,26.59,101.71,64.99,78,100,1.32
Hofn,IS,64.25,-15.21,39.45,69,0,10.11
Muisne,EC,0.6,-80.03,73.06,82,100,5.84
Fort Nelson,CA,58.81,-122.7,46.4,93,75,2.24
Longyearbyen,SJ,78.22,15.64,30.2,86,75,5.82
Bambous Virieux,MU,-20.34,57.76,73.0,88,20,3.36
Hamilton,US,39.18,-84.53,64.0,87,1,2.82
Alakurtti,RU,66.97,30.35,48.99,87,88,3.0
Cidreira,BR,-30.18,-50.21,61.5,92,13,8.01
Olafsvik,IS,64.89,-23.71,38.34,75,89,21.27
Castro,BR,-24.79,-50.01,55.74,91,55,8.84
Yellowknife,CA,62.46,-114.35,51.8,71,75,13.87
Poum,NC,-20.23,164.02,73.53,72,0,13.4
La Ronge,CA,55.1,-105.28,55.4,66,40,12.75
Budogoshch',RU,59.28,32.47,54.7,97,98,7.14
Saint Paul Harbor,US,57.79,-152.41,51.8,87,90,8.05
Zheleznodorozhnyy,RU,55.75,38.0,55.0,100,20,4.47
Mitzic,GA,0.78,11.55,65.7,100,99,2.33
Taganak,PH,6.08,118.3,87.8,70,20,5.82
Port Moresby,PG,-9.44,147.18,87.8,70,40,17.22
Saint George,US,37.1,-113.58,82.0,16,1,4.7
Vysokogornyy,RU,50.12,139.15,62.19,42,0,2.44
Tateyama,JP,34.98,139.87,71.01,88,75,23.04
Turan,VN,16.07,108.22,91.4,59,20,2.24
Kahului,US,20.89,-156.47,82.4,69,90,13.87
Geraldton,AU,-28.77,114.6,87.8,11,46,18.34
Port Alfred,ZA,-33.59,26.89,59.23,78,0,2.21
Mazamari,PE,-11.33,-74.53,68.49,80,15,1.59
Thompson,CA,55.74,-97.86,35.6,93,5,4.05
Lufilufi,WS,-13.87,-171.6,86.0,74,75,3.36
Daru,PG,-9.08,143.21,81.73,72,99,13.44
Hrubieszów,PL,50.8,23.89,57.74,69,38,7.81
George Town,MY,5.41,100.34,78.8,88,40,2.24
Mehamn,NO,71.04,27.85,50.0,57,26,20.8
Mount Isa,AU,-20.73,139.5,80.6,15,75,8.05
Vila Velha,BR,-20.33,-40.29,68.0,100,75,4.7
Luanda,AO,-8.84,13.23,73.4,88,75,5.82
Byron Bay,AU,-28.65,153.62,81.0,40,0,10.29
Barrow,US,71.29,-156.79,30.2,68,75,10.29
Chui,UY,-33.7,-53.46,52.07,91,99,1.61
Deer Lake,CA,49.17,-57.43,59.0,82,90,19.46
Bredasdorp,ZA,-34.53,20.04,46.99,95,0,1.95
Yemtsa,RU,63.07,40.33,46.42,97,85,7.45
La Joya,MX,18.67,-99.47,71.01,92,98,4.41
Kumul,CN,42.8,93.45,77.13,20,73,4.5
Zemetchino,RU,53.5,42.62,52.34,79,88,5.44
Myitkyina,MM,25.38,97.4,78.6,94,100,0.83
Torbay,CA,47.67,-52.73,64.99,88,75,25.28
Palu,ID,-0.89,119.87,84.09,77,100,3.4
Korla,CN,41.76,86.15,73.74,20,0,9.44
Lyndon,US,38.26,-85.6,66.0,77,1,3.36
Los Llanos de Aridane,ES,28.66,-17.92,73.4,60,72,5.82
Ejido Ixcatepec,MX,21.2,-97.95,70.09,89,0,4.34
Bluff,NZ,-46.6,168.33,51.01,89,100,4.0
Acaraú,BR,-2.89,-40.12,77.02,82,4,16.02
Mar del Plata,AR,-38.0,-57.56,50.0,93,0,3.36
Colomi,BO,-17.35,-65.87,62.6,33,16,3.36
Alice Springs,AU,-23.7,133.88,78.8,14,0,6.93
Viedma,AR,-40.81,-63.0,46.81,58,0,8.21
